Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-04-17 06:40:07,2023-04-18 03:13:15,1574,AMZN Mktp US*A211J55N3,Merchandise,55.99,
2023-03-03 14:42:41,2023-03-04 03:34:49,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,22.22
2023-09-03 06:20:18,2023-09-03 17:09:08,1574,CHEGG  ORDER,Merchandise,22.65,
2023-07-06 00:52:23,2023-07-07 09:49:21,1574,CHIPOTLE ONLINE,Dining,6.19,
2023-11-11 18:47:48,2023-11-13 17:57:27,1574,DD DOORDASH HANGRYJOE,Dining,16.15,
2023-08-01 13:36:49,2023-08-03 05:31:31,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,101.87
2023-08-25 18:47:37,2023-08-27 04:56:33,1574,PAPA JOHN'S 3201,Dining,4.67,
2023-09-02 13:51:44,2023-09-03 17:45:33,1574,FIVE GUYS 2025 QSR,Dining,7.13,
2023-07-12 20:02:03,2023-07-13 03:56:06,1574,UBER   TRIP,Other Travel,9.1,
2023-07-17 12:45:18,2023-07-19 05:40:06,1574,TRENTON KIOSK #1246QPS,Dining,7.18,
2023-12-04 13:14:03,2023-12-04 22:59:31,1574,TROPICAL SMOOTHIE CAFE,Dining,6.94,
2023-08-31 23:40:52,2023-09-01 02:18:16,1574,Peacock AE2A3 Premium,Phone/Cable,1.95,
2023-03-02 14:50:25,2023-03-03 06:49:33,1574,Ticketleap Simply Chao,Entertainment,14.27,
2023-05-03 22:24:22,2023-05-05 00:39:08,1574,SP PHOTOLOUNGE PHILA,Merchandise,34.04,
2023-11-05 19:39:45,2023-11-06 19:45:28,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,42.86
2023-07-20 00:53:08,2023-07-20 08:18:05,1574,SHAKE SHACK - 1173A,Dining,14.14,
2023-09-10 09:43:11,2023-09-12 00:38:55,1574,KFTEAUSA_204,Dining,5.85,
2023-06-30 11:19:03,2023-07-02 03:36:04,1574,Rally House 093,Merchandise,23.28,
2023-12-05 10:08:30,2023-12-05 12:34:58,1574,UBER   TRIP,Other Travel,21.69,
2023-07-06 01:11:07,2023-07-07 02:16:56,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,181.78
2023-09-12 10:35:50,2023-09-13 19:41:21,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,155.73
2023-02-21 07:23:41,2023-02-23 00:42:59,1574,WINE AND SPIRITS 5156,Merchandise,115.22,
2023-07-21 21:49:00,2023-07-22 04:51:58,1574,DD DOORDASH DONBARRIG,Dining,53.26,
2023-05-19 02:56:58,2023-05-19 03:41:10,1574,TROPICAL SMOOTHIE CAFE,Dining,2.14,
2023-11-15 05:33:13,2023-11-16 21:10:42,1574,ACME #2397,Merchandise,11.55,
2023-11-11 01:50:57,2023-11-12 18:12:29,1574,COPABANANA UNIVERSITY,Dining,127.94,
2023-09-07 11:16:44,2023-09-08 14:42:14,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,68.62
2023-10-20 07:10:46,2023-10-21 03:05:51,1574,TARGET.COM  *,Merchandise,27.89,
2023-01-30 00:17:33,2023-01-30 11:00:27,1574,UBER   TRIP,Other Travel,19.39,
2023-05-24 19:30:57,2023-05-26 01:11:39,1574,Ticketleap Class of 20,Entertainment,32.64,
2023-01-31 22:50:49,2023-02-01 14:51:58,1574,EB BOLLYFIESTA BY PHI,Other Services,,18.4
2023-12-29 21:35:02,2023-12-30 18:35:25,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,35.64
2023-03-21 17:50:25,2023-03-23 03:47:35,1574,UBER   TRIP,Other Travel,9.29,
2023-12-22 21:40:11,2023-12-24 02:42:26,1574,QDOBA 2168 OLO,Dining,4.08,
2023-07-12 04:08:32,2023-07-12 23:59:40,1574,DUNKIN #350910 Q35,Dining,2.58,
2023-03-15 19:17:25,2023-03-15 20:06:01,1574,CHEGG  ORDER,Merchandise,11.39,
2023-11-24 18:48:45,2023-11-24 20:38:27,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,313.36
2023-05-02 06:58:00,2023-05-02 16:28:38,1574,DOORDASH DASHPASS,Dining,9.67,
2023-08-28 14:01:26,2023-08-28 19:14:37,1574,DOORDASH DASHPASS,Dining,,5.05
2023-11-12 11:57:49,2023-11-14 01:05:07,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,24.54
2023-04-08 19:45:06,2023-04-09 13:14:53,1574,SQ *WOODY'S BAR,Dining,81.07,
2023-11-09 03:10:36,2023-11-09 14:48:40,1574,DUNKIN #350910 Q35,Dining,3.18,
2023-06-17 14:56:19,2023-06-17 16:08:14,1574,DD DOORDASH MASALAKIT,Dining,216.93,
2023-03-14 04:49:31,2023-03-14 14:57:22,1574,UBER   TRIP,Other Travel,23.87,
2023-07-17 06:46:11,2023-07-18 11:29:22,1574,UBER   TRIP,Other Travel,16.06,
2023-07-07 00:50:06,2023-07-08 13:07:49,1574,DOORDASH DASHPASS,Dining,5.44,
2023-10-29 09:20:15,2023-10-30 03:14:14,1574,EB BOLLYFIESTA BY PHI,Other Services,18.01,
2023-11-18 20:38:24,2023-11-19 22:32:51,1574,Ticketleap SPEC Connai,Entertainment,5.73,
2023-11-01 09:04:08,2023-11-03 02:40:52,1574,Peacock CB02C Premium,Phone/Cable,2.05,
2023-06-10 16:55:24,2023-06-12 07:18:09,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,101.36
2023-01-04 11:04:59,2023-01-06 05:23:38,1574,CHIPOTLE ONLINE,Dining,14.62,
2023-10-14 20:41:01,2023-10-15 16:00:11,1574,UBER   TRIP,Other Travel,17.6,
2023-07-21 03:53:35,2023-07-23 03:47:59,1574,WINE AND SPIRITS 5156,Merchandise,37.15,
2023-04-11 19:53:54,2023-04-13 00:46:32,1574,AMTRAK MOBILE,Other Travel,10.44,
2023-08-29 00:02:00,2023-08-30 23:37:09,1574,DUNKIN #350910 Q35,Dining,2.16,
2023-12-14 02:03:37,2023-12-14 08:49:16,1574,HANGRY JOES HOT CHICKE,Dining,16.56,
2023-08-26 19:49:18,2023-08-27 05:26:00,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,81.91
2023-08-16 20:05:16,2023-08-18 08:33:33,1574,DD DOORDASH MASALAKIT,Dining,20.14,
2023-07-10 09:08:31,2023-07-11 04:03:35,1574,WAWA 179,Merchandise,20.61,
2023-06-15 17:38:10,2023-06-17 16:34:12,1574,CVS/PHARMACY #00450,Health Care,31.95,
2023-02-19 23:04:40,2023-02-21 21:14:18,1574,SQ *34TH AND WALNUT,Dining,8.42,
2023-08-05 22:59:50,2023-08-07 11:29:50,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,99.17
2023-05-27 07:47:51,2023-05-27 07:56:47,1574,DUNKIN' MOBILE AP,Dining,2.8,
2023-08-07 02:45:51,2023-08-08 16:09:42,1574,BURGER KING #14915 Q07,Dining,14.4,
2023-11-27 11:01:40,2023-11-28 14:28:20,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,44.35
2023-03-15 14:57:07,2023-03-17 05:23:58,1574,SP FASHIONNOVA.COM,Merchandise,78.33,
2023-08-15 08:26:30,2023-08-16 19:03:00,1574,CINNABON 4200813,Dining,4.42,
2023-01-23 00:41:11,2023-01-23 05:16:04,1574,BUFFALO WILD ECOM 0306,Dining,16.33,
2023-01-14 08:09:20,2023-01-16 01:38:22,1574,SOUTHEASTERN PENNSYLVA,Other Travel,2.19,
2023-02-17 21:32:33,2023-02-19 03:45:28,1574,DUNKIN #350910 Q35,Dining,5.0,
2023-05-06 05:31:57,2023-05-08 02:17:59,1574,WAWA 201,Gas/Automotive,5.61,
2023-09-12 20:59:08,2023-09-14 10:06:55,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,168.33
2023-09-13 22:43:09,2023-09-15 16:29:04,1574,SHEIN,Merchandise,10.41,
2023-07-02 18:08:27,2023-07-04 15:07:56,1574,LINKSTUB.COM* ENYMIJ2A,Entertainment,47.6,
2023-01-26 22:41:05,2023-01-28 07:30:29,1574,DD DOORDASH MASALAKIT,Dining,17.99,
2023-11-28 13:31:34,2023-11-29 03:39:22,1574,SQ *PENN HALAL GYRO,Dining,9.38,
2023-12-04 11:40:19,2023-12-06 03:46:57,1574,LYFT   1 RIDE 10-08,Other Travel,16.66,
2023-04-24 19:29:54,2023-04-25 02:32:50,1574,UBER   TRIP,Other Travel,11.64,
2023-03-19 06:27:12,2023-03-19 08:34:43,1574,BRU,Dining,34.48,
2023-05-08 15:33:57,2023-05-09 14:30:32,1574,TEA DO,Dining,5.4,
2023-06-16 20:10:29,2023-06-17 19:44:25,1574,DOORDASH DASHPASS,Dining,4.76,
2023-07-20 09:49:25,2023-07-21 14:17:29,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,103.91
2023-01-11 03:46:41,2023-01-12 00:46:44,1574,Peacock 4A30D Premium,Phone/Cable,2.14,
2023-05-06 14:58:14,2023-05-07 14:11:58,1574,HANGRY JOES HOT CHICKE,Dining,13.64,
2023-11-20 09:30:00,2023-11-22 06:08:04,1574,ORANGE COUNTY C C CONC,Dining,16.5,
2023-08-14 20:41:18,2023-08-16 00:43:08,1574,LYFT   1 RIDE 09-26,Other Travel,37.09,
2023-03-30 22:20:29,2023-03-31 15:54:47,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,17.71
2023-02-13 20:12:08,2023-02-14 01:18:46,1574,ALDO LAMBERTI TRATTORI,Dining,3.78,
2023-06-11 09:01:04,2023-06-13 00:09:15,1574,DD DOORDASH TACOBELL,Dining,19.34,
2023-06-05 19:54:10,2023-06-06 16:32:26,1574,AMERICAN  0010636057580,Airfare,16.13,
2023-10-22 07:49:11,2023-10-24 01:57:37,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,77.16
2023-02-21 10:11:53,2023-02-21 21:41:38,1574,ACME #2397,Merchandise,19.94,
2023-03-31 22:24:11,2023-04-01 17:30:18,1574,DUNKIN' MOBILE AP,Dining,2.19,
2023-09-26 20:34:57,2023-09-28 15:00:37,1574,MAKI,Dining,13.94,
2023-11-27 22:10:23,2023-11-28 20:43:49,1574,SQ *PENN HALAL GYRO,Dining,8.47,
2023-01-18 08:05:10,2023-01-18 17:10:24,1574,SQ *RITTENHOUSE - VERV,Dining,3.5,
2023-01-30 02:26:08,2023-01-31 09:40:29,1574,HANGRY JOES HOT CHICKE,Dining,15.79,
2023-08-29 18:06:09,2023-08-30 09:33:12,1574,PAPA JOHN'S 3201,Dining,10.02,
2023-10-10 14:12:09,2023-10-10 16:55:44,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,92.11
2023-12-02 04:43:11,2023-12-03 10:26:42,1574,YIFANG-WALNUT STREET S,Dining,7.89,
2023-01-30 20:35:59,2023-02-01 12:32:24,1574,PAPA JOHN'S 3201,Dining,14.85,
2023-09-21 10:35:25,2023-09-23 08:43:38,1574,UBER   TRIP,Other Travel,13.37,
2023-06-20 01:05:45,2023-06-20 06:41:26,1574,SNACK* THAI SINGHA HOU,Dining,15.35,
2023-08-18 13:28:13,2023-08-19 03:24:58,1574,Jean Madeline Aveda In,Other Services,14.95,
2023-03-13 11:26:28,2023-03-14 17:21:45,1574,CHIPOTLE ONLINE,Dining,10.41,
2023-08-17 15:15:08,2023-08-17 15:57:22,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,205.09
2023-11-08 04:20:00,2023-11-08 04:27:24,1574,DOORDASH DASHPASS,Dining,5.27,
2023-12-09 04:44:18,2023-12-11 02:12:53,1574,NAYAX VENDING 47,Dining,5.56,
2023-10-28 06:43:46,2023-10-29 23:28:04,1574,TST* Sampan,Dining,17.14,
2023-08-13 15:47:45,2023-08-13 15:52:42,1574,Peacock 560AE Premium,Phone/Cable,2.21,
2023-10-16 21:23:55,2023-10-17 07:53:16,1574,SPASSO ITALIAN GRILL,Dining,100.03,
2023-11-26 00:44:26,2023-11-26 02:30:47,1574,SQ *RITTENHOUSE - VERV,Dining,3.54,
2023-10-01 07:19:16,2023-10-03 00:48:43,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,188.96
2023-08-31 20:04:44,2023-08-31 21:09:45,1574,TST* Ammas South India,Dining,70.62,
2023-02-04 06:56:43,2023-02-06 02:50:18,1574,WAWA 201,Gas/Automotive,5.97,
2023-02-02 10:47:08,2023-02-03 03:31:58,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,203.08
2023-06-05 03:34:06,2023-06-06 01:13:08,1574,AMERICAN  00124732345119,Airfare,170.89,
2023-01-29 11:00:19,2023-01-30 16:40:40,1574,UBER   TRIP,Other Travel,22.54,
2023-06-16 07:34:52,2023-06-17 10:59:25,1574,SOHO - SUGARFISH,Dining,38.39,
2023-12-06 04:42:47,2023-12-06 13:40:43,1574,BRICK HOUSE,Lodging,36.8,
2023-01-19 00:53:17,2023-01-19 11:22:24,1574,MTA*NYCT PAYGO,Other Travel,2.71,
2023-07-29 09:29:58,2023-07-30 13:39:49,1574,MTA*NYCT PAYGO,Other Travel,2.77,
2023-11-18 05:58:00,2023-11-19 09:05:32,1574,MTA*NYCT PAYGO,Other Travel,2.81,
2023-07-23 10:03:56,2023-07-24 12:43:08,1574,TST* TARA ROSE,Dining,60.05,
2023-09-14 14:41:21,2023-09-16 13:39:52,1574,MTA*NYCT PAYGO,Other Travel,2.82,
2023-08-19 06:40:17,2023-08-20 09:38:43,1574,STORE*MURASAKI,Dining,23.21,
2023-12-06 13:44:25,2023-12-07 19:45:54,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,235.35
2023-11-09 14:26:32,2023-11-10 10:47:21,1574,UBER   TRIP,Other Travel,8.87,
2023-02-15 07:47:24,2023-02-15 18:09:35,1574,VIP MARKET,Merchandise,14.26,
2023-03-09 14:58:18,2023-03-10 16:09:13,1574,WINE AND SPIRITS 5154,Merchandise,34.0,
2023-10-04 10:12:48,2023-10-05 21:36:18,1574,WINE AND SPIRITS 5105,Merchandise,7.63,
2023-01-20 05:35:11,2023-01-20 19:33:19,1574,WINE AND SPIRITS 5105,Merchandise,38.83,
2023-03-06 23:18:43,2023-03-08 17:30:27,1574,LASCALAS FIRE UNIVERSI,Dining,90.46,
2023-05-19 12:41:26,2023-05-20 17:58:35,1574,WAWA 86,Merchandise,6.57,
2023-03-11 06:22:44,2023-03-12 12:19:43,1574,CHIPOTLE 1480,Dining,8.72,
2023-06-06 22:48:38,2023-06-08 19:05:43,1574,MASTER WOK,Dining,7.2,
2023-01-07 09:47:11,2023-01-08 01:28:49,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,246.12
2023-08-28 07:18:21,2023-08-29 02:43:42,1574,DUNKIN #350910 Q35,Dining,3.31,
2023-09-29 19:18:03,2023-09-30 16:56:57,1574,QDOBA 2168 OLO,Dining,7.61,
2023-10-20 10:40:31,2023-10-21 20:46:55,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,128.4
2023-10-03 15:17:26,2023-10-04 09:04:54,1574,WENDY'S 191-11,Dining,19.23,
2023-07-03 01:03:07,2023-07-03 05:50:11,1574,TACOS CANCUN,Dining,200.92,
2023-03-26 06:02:23,2023-03-26 17:40:22,1574,PARKMOBILE,Gas/Automotive,3.44,
2023-06-17 09:49:29,2023-06-19 02:51:17,1574,DD DOORDASH MASALAKIT,Dining,17.36,
2023-02-05 09:07:14,2023-02-06 14:21:01,1574,T.J. MAXX #1507,Merchandise,41.14,
2023-09-24 16:53:34,2023-09-24 22:12:07,1574,DUNKIN #350910 Q35,Dining,3.21,
2023-12-30 21:07:33,2023-12-31 08:45:55,1574,PAGANOS MARKET & BAR,Dining,33.93,
2023-01-12 23:42:54,2023-01-14 13:47:23,1574,ACME #2397,Merchandise,34.12,
2023-11-30 11:44:00,2023-12-02 01:29:23,1574,UBER   TRIP,Other Travel,11.17,
2023-05-09 15:26:33,2023-05-10 03:25:18,1574,DUNKIN #350910 Q35,Dining,1.17,
2023-12-22 17:09:25,2023-12-24 17:09:18,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,310.88
2023-03-06 01:24:09,2023-03-06 21:53:08,1574,Peacock X1645 Premium,Phone/Cable,2.0,
2023-05-13 11:23:50,2023-05-15 06:25:47,1574,CAVANAUGH'S RIVER DECK,Dining,15.22,
2023-03-01 22:08:51,2023-03-03 18:40:20,1574,UBER   TRIP,Other Travel,16.76,
2023-11-24 07:49:00,2023-11-24 15:31:58,1574,DD DOORDASH HANDYNAST,Dining,37.22,
2023-04-20 15:22:20,2023-04-22 08:43:58,1574,SQ *BEN & JERRY'S U-PE,Dining,6.62,
2023-04-09 06:08:23,2023-04-10 06:41:50,1574,DUNKIN #350910 Q35,Dining,1.35,
2023-09-05 17:36:03,2023-09-07 10:16:04,1574,UBER   TRIP,Other Travel,10.43,
2023-12-02 05:36:27,2023-12-03 20:13:53,1574,UBER   TRIP,Other Travel,2.49,
2023-08-22 14:55:46,2023-08-23 21:51:31,1574,TST* Masala Kitchen Ka,Dining,6.92,
2023-04-21 19:33:12,2023-04-22 13:21:35,1574,WAWA 86,Merchandise,8.78,
2023-10-11 07:27:39,2023-10-12 18:09:16,1574,CNK*CINEMARK.COM 1109,Entertainment,,5.43
2023-03-02 00:16:37,2023-03-02 19:58:44,1574,PAPA JOHN'S 3201,Dining,1.54,
2023-10-25 02:42:24,2023-10-25 11:14:31,1574,SEPTA FARE MACHINE,Other Travel,2.29,
2023-07-26 17:13:44,2023-07-27 01:19:16,1574,CHIPOTLE ONLINE,Dining,8.27,
2023-09-22 13:30:38,2023-09-23 10:33:46,1574,PELICANA CHICKEN PHILA,Dining,59.73,
2023-12-31 01:33:10,2023-12-31 11:41:28,1574,MAKI,Dining,15.38,
2023-02-24 21:43:00,2023-02-26 14:12:34,1574,SEPTA MOBILE APP,Other Travel,1.82,
2023-08-29 13:36:20,2023-08-31 04:30:10,1574,TST* Tomo Sushi & Rame,Dining,98.95,
2023-05-13 16:47:10,2023-05-14 18:51:30,1574,ACME #2397,Merchandise,6.86,
2023-03-26 03:45:44,2023-03-27 16:36:42,1574,UBER   TRIP,Other Travel,13.07,
2023-10-01 10:51:35,2023-10-03 00:41:22,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,74.89
2023-09-01 10:20:33,2023-09-03 05:59:25,1574,UBER   TRIP,Other Travel,13.33,
2023-07-29 23:25:00,2023-07-31 00:12:10,1574,DUNKIN #350910 Q35,Dining,6.07,
2023-10-15 16:21:09,2023-10-16 13:43:28,1574,*PERKSATWORK*CINEMARKT,Other Services,33.07,
2023-07-21 06:00:51,2023-07-22 11:24:08,1574,CNK*CINEMARK.COM 1109,Entertainment,5.74,
2023-10-11 22:34:48,2023-10-12 15:27:13,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,921.87
2023-02-22 09:04:17,2023-02-23 11:55:29,1574,ANDPIZZA,Dining,13.81,
2023-03-13 09:00:04,2023-03-14 17:52:46,1574,VIP MARKET,Merchandise,28.44,
2023-05-07 09:34:48,2023-05-09 05:36:21,1574,VIP MARKET,Merchandise,6.14,
2023-10-25 09:24:01,2023-10-26 22:25:43,1574,TST* Veda - Modern Ind,Dining,789.3,
2023-07-08 22:12:58,2023-07-09 17:33:22,1574,UBER   TRIP,Other Travel,14.04,
2023-08-19 13:36:06,2023-08-21 10:46:58,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,60.08
2023-06-01 22:34:06,2023-06-02 23:54:20,1574,TST* Sampan,Dining,23.63,
2023-08-27 09:48:30,2023-08-27 19:57:44,1574,TST* Sampan,Dining,27.09,
2023-06-27 18:56:56,2023-06-27 21:23:15,1574,WINE AND SPIRITS 5105,Merchandise,39.07,
2023-12-31 20:04:27,2024-01-01 01:39:21,1574,DUNKIN #350910 Q35,Dining,3.23,
2023-06-21 00:36:31,2023-06-22 23:19:44,1574,UBER   TRIP,Other Travel,12.87,
2023-01-01 04:05:00,2023-01-01 17:50:21,1574,RAISING CANES 0707 MOB,Dining,11.56,
2023-06-28 16:28:53,2023-06-29 20:56:28,1574,DUNKIN #350910 Q35,Dining,4.82,
2023-10-28 09:26:58,2023-10-29 07:33:16,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,239.39
2023-01-19 18:31:44,2023-01-21 09:51:51,1574,SQ *AIR GRILLE GARDEN,Dining,10.89,
2023-03-09 11:43:05,2023-03-11 04:28:41,1574,DUNKIN #350910 Q35,Dining,5.39,
2023-03-18 09:24:25,2023-03-19 16:07:36,1574,CHIPOTLE ONLINE,Dining,10.21,
2023-10-14 05:34:36,2023-10-15 11:52:28,1574,UBER   TRIP,Other Travel,19.21,
2023-05-14 16:55:19,2023-05-14 21:23:57,1574,BRU,Dining,13.41,
2023-11-20 12:14:11,2023-11-20 12:19:10,1574,UBER   TRIP,Other Travel,15.51,
2023-08-12 10:37:03,2023-08-13 01:26:30,1574,UBER   TRIP,Other Travel,11.66,
2023-11-19 12:41:36,2023-11-20 07:09:57,1574,WINE AND SPIRITS 5156,Merchandise,40.34,
2023-12-14 09:51:55,2023-12-16 01:42:50,1574,UBER   TRIP,Other Travel,14.75,
2023-04-27 18:23:31,2023-04-28 02:36:12,1574,UBER   TRIP,Other Travel,18.22,
2023-05-22 10:07:06,2023-05-22 17:58:11,1574,WAWA 86,Merchandise,6.37,
2023-10-13 10:56:12,2023-10-14 20:24:37,1574,ACME #2397,Merchandise,8.08,
2023-03-24 05:55:03,2023-03-25 07:45:33,1574,DUNKIN #350910 Q35,Dining,5.11,
2023-03-02 12:26:58,2023-03-02 16:18:43,1574,UBER   TRIP,Other Travel,8.59,
2023-08-05 18:00:07,2023-08-06 06:52:26,1574,WINE AND SPIRITS 5156,Merchandise,1.81,
2023-11-26 03:11:43,2023-11-27 05:35:58,1574,WINE AND SPIRITS 5156,Merchandise,74.48,
2023-06-21 19:11:12,2023-06-23 10:03:21,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,374.18
2023-06-09 06:07:04,2023-06-10 13:37:14,1574,AUNTIE ANNES PA 243 SR,Dining,4.78,
2023-08-28 17:03:39,2023-08-30 01:42:00,1574,WAWA 8140,Gas/Automotive,9.76,
2023-02-27 21:50:52,2023-02-28 15:34:26,1574,GIANT 6478,Merchandise,35.52,
2023-03-11 22:26:26,2023-03-12 14:59:18,1574,CVS/PHARMACY #02951,Health Care,1.71,
2023-11-26 14:18:48,2023-11-28 10:34:20,1574,USCUSTOMS TRUSTEDTRAVE,Other Services,94.02,
2023-05-01 08:05:28,2023-05-01 13:20:22,1574,Peacock 87D49 Premium,Phone/Cable,2.06,
2023-10-12 21:52:45,2023-10-13 02:06:07,1574,KOOMA RESTAURANT,Dining,172.78,
2023-08-04 07:49:48,2023-08-05 16:44:34,1574,MAKI,Dining,15.32,
2023-12-31 00:14:54,2024-01-01 21:10:10,1574,UBER   TRIP,Other Travel,2.17,
2023-08-26 05:57:39,2023-08-28 01:56:35,1574,UBER   TRIP,Other Travel,7.45,
2023-08-07 17:36:21,2023-08-08 04:14:00,1574,MASTER WOK,Dining,9.55,
2023-09-30 04:14:12,2023-09-30 07:12:13,1574,DUNKIN #350910 Q35,Dining,2.58,
2023-01-05 19:37:07,2023-01-06 07:48:36,1574,TOKYO SUSHI & CATERING,Dining,4.58,
2023-09-06 05:18:05,2023-09-07 22:54:03,1574,UBER   TRIP,Other Travel,10.05,
2023-05-01 08:23:18,2023-05-02 07:48:41,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,111.91
2023-05-29 17:07:16,2023-05-31 00:02:41,1574,DUNKIN #350910 Q35,Dining,5.09,
2023-06-16 16:08:38,2023-06-17 20:46:46,1574,TARGET        00032060,Merchandise,4.95,
2023-12-07 16:30:06,2023-12-08 16:50:53,1574,CHIPOTLE ONLINE,Dining,10.4,
2023-04-15 18:45:06,2023-04-15 20:29:56,1574,MAKI,Dining,13.48,
2023-10-13 00:33:58,2023-10-13 12:37:51,1574,UBER   TRIP,Other Travel,11.95,
2023-10-24 05:19:18,2023-10-24 17:24:45,1574,PAPA JOHN'S 3201,Dining,4.67,
2023-03-11 06:10:32,2023-03-13 02:33:21,1574,UBER   TRIP,Other Travel,15.46,
2023-09-22 23:39:17,2023-09-24 10:49:47,1574,UBER   TRIP,Other Travel,11.94,
2023-02-21 08:15:28,2023-02-21 10:05:49,1574,TST* Ladder 15,Dining,37.05,
2023-03-18 20:25:08,2023-03-20 14:38:44,1574,UBER   TRIP,Other Travel,13.49,
2023-01-23 17:35:02,2023-01-23 18:05:20,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,660.45
2023-05-24 10:17:21,2023-05-25 18:00:24,1574,DUNKIN #350910 Q35,Dining,2.43,
2023-12-18 19:23:32,2023-12-18 21:47:24,1574,WAWA 86,Merchandise,6.96,
2023-07-29 04:26:17,2023-07-29 09:58:56,1574,TST* Masala Kitchen Ka,Dining,14.06,
2023-08-22 15:50:01,2023-08-22 18:32:35,1574,TST* Masala Kitchen Ka,Dining,7.12,
2023-10-25 23:40:47,2023-10-27 13:25:28,1574,SEPHORA FASHION DISTRI,Merchandise,17.52,
2023-01-06 06:29:54,2023-01-08 04:27:22,1574,PAPA JOHN'S 3201,Dining,6.88,
2023-05-03 09:41:28,2023-05-04 08:13:15,1574,WINE AND SPIRITS 5156,Merchandise,21.65,
2023-04-28 15:57:42,2023-04-30 00:14:08,1574,MASTER WOK,Dining,8.73,
2023-08-02 01:41:27,2023-08-03 17:25:36,1574,ACME #2397,Merchandise,26.46,
2023-04-12 20:32:35,2023-04-13 08:29:15,1574,LYFT   RIDE WED 10PM,Other Travel,11.66,
